alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
10,"(Living Room, Tying decorative knots)","(Study, Raising a painting)","(Dining Room, Peeling an orange)","(Dining Room, Observing guests from afar)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Taking her dog for a walk)","(Living Room, Peeling an orange)","(Living Room, Reorganizing books and materials)","(Dining Room, Tying decorative knots)","(Study, Reorganizing books and materials)","(Dining Room, Observing guests from afar)","(Study, Reorganizing books and materials)","(Study, Inspecting wine bottles)","(Study, Tying decorative knots)","(Study, Taking her dog for a walk)","(Study, Reading a novel quietly)","(Study, Washing up after handling items)","(Living Room, Raising a painting)","(Living Room, Taking her dog for a walk)","(Study, Ripping wippets)"
11,"(Living Room, Taking her dog for a walk)","(Study, Tying decorative knots)","(Living Room, Raising a painting)","(Study, Raising a painting)","(Dining Room, Ripping wippets)","(Study, Observing guests from afar)","(Study, Peeling an orange)","(Living Room, Taking her dog for a walk)","(Study, Taking her dog for a walk)","(Study, Serving drinks and chatting with guests)","(Living Room, Tying decorative knots)","(Living Room, Inspecting a family heirloom)","(Living Room, Reorganizing books and materials)","(Study, Speaking in a high-pitched voice)","(Dining Room, Raising a painting)","(Study, Taking her dog for a walk)","(Study, Raising a painting)","(Study, Raising a painting)","(Living Room, Reorganizing books and materials)","(Dining Room, Raising a painting)"
12,"(Living Room, Complaining about TSA going through their purse)","(Living Room, Taking her dog for a walk)","(Study, Opening a safe)","(Living Room, Inspecting wine bottles)","(Study, Tying decorative knots)","(Dining Room, Reorganizing books and materials)","(Kitchen, Bringing in the shopping)","(Kitchen, Observing guests from afar)","(Kitchen, Taking her dog for a walk)","(Pantry, Swapping drinks unnoticed)","(Kitchen, Observing guests from afar)","(Pantry, Observing guests from afar)","(Pantry, Reorganizing books and materials)","(Kitchen, Polishing household items)","(Pantry, Reorganizing books and materials)","(Kitchen, Reorganizing books and materials)","(Dining Room, Tying decorative knots)","(Study, Observing guests from afar)","(Study, Tying decorative knots)","(Living Room, Observing guests from afar)"
13,"(Living Room, Washing up after handling items)","(Living Room, Raising a painting)","(Study, Polishing household items)","(Living Room, Raising a painting)","(Living Room, Returning to mingle with guests)","(Study, Inspecting a family heirloom)","(Study, Raising a painting)","(Living Room, Taking her dog for a walk)","(Study, Tying decorative knots)","(Study, Reorganizing books and materials)","(Study, Raising a painting)","(Living Room, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Living Room, Observing guests from afar)","(Study, Looking in drawers)","(Living Room, Observing guests from afar)","(Study, Raising a painting)","(Study, Observing guests from afar)","(Living Room, Raising a painting)","(Living Room, Taking her dog for a walk)"
14,"(Study, Reading warning labels)","(Study, Raising a painting)","(Living Room, Tying decorative knots)","(Study, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Study, Reading warning labels)","(Dining Room, Reorganizing books and materials)","(Living Room, Tying decorative knots)","(Living Room, Observing guests from afar)","(Living Room, Observing guests from afar)","(Bathroom, Reorganizing books and materials)","(Living Room, Taking her dog for a walk)","(Study, Observing guests from afar)","(Dining Room, Tying decorative knots)","(Kitchen, Rinsing a glass carefully)","(Pantry, Tying decorative knots)","(Kitchen, Raising a painting)","(Dining Room, Observing guests from afar)","(Kitchen, Raising a painting)","(Kitchen, Raising a painting)"
15,"(Study, Observing guests from afar)","(Study, Raising a painting)","(Living Room, Raising a painting)","(Living Room, Raising a painting)","(Study, Raising a painting)","(Study, Tying decorative knots)","(Living Room, Tying decorative knots)","(Study, Looking in drawers)","(Living Room, Reading warning labels)","(Living Room, Observing guests from afar)","(Study, Observing guests from afar)","(Living Room, Raising a painting)","(Dining Room, Tying decorative knots)","(Study, Polishing household items)","(Study, Raising a painting)","(Study, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Dining Room, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Living Room, Tying decorative knots)"
16,"(Study, Raising a painting)","(Living Room, Taking her dog for a walk)","(Living Room, Reorganizing books and materials)","(Study, Reorganizing books and materials)","(Living Room, Tampering with drinks)","(Bathroom, Raising a painting)","(Living Room, Raising a painting)","(Living Room, Taking her dog for a walk)","(Dining Room, Reorganizing books and materials)","(Study, Observing guests from afar)","(Study, Reorganizing books and materials)","(Living Room, Raising a painting)","(Living Room, Observing guests from afar)","(Dining Room, Raising a painting)","(Study, Polishing household items)","(Living Room, Tying decorative knots)","(Study, Taking her dog for a walk)","(Living Room, Raising a painting)","(Study, Opening letters)","(Study, Reorganizing books and materials)"
17,"(Living Room, Taking her dog for a walk)","(Study, Inspecting wine bottles)","(Dining Room, Taking her dog for a walk)","(Dining Room, Raising a painting)","(Living Room, Reorganizing books and materials)","(Bathroom, Tying decorative knots)","(Living Room, Reading warning labels)","(Study, Bragging about their Birkin)","(Living Room, Tampering with drinks)","(Study, Looking in drawers)","(Study, Retrieving items from storage)","(Study, Observing guests from afar)","(Living Room, Talking about skeet shooting)","(Living Room, Inspecting a family heirloom)","(Dining Room, Bringing in the shopping)","(Living Room, Raising a painting)","(Living Room, Raising a painting)","(Bathroom, Observing guests from afar)","(Living Room, Ripping wippets)","(Study, Bringing in the shopping)"
18,"(Living Room, Raising a painting)","(Living Room, Taking her dog for a walk)","(Study, Raising a painting)","(Dining Room, Taking her dog for a walk)","(Living Room, Reorganizing books and materials)","(Living Room, Washing up after handling items)","(Living Room, Reorganizing books and materials)","(Bathroom, Speaking in a high-pitched voice)","(Bathroom, Reorganizing books and materials)","(Living Room, Observing guests from afar)","(Study, Raising a painting)","(Study, Tying decorative knots)","(Living Room, Reorganizing books and materials)","(Bathroom, Reorganizing books and materials)","(Living Room, Inflating balloons)","(Living Room, Tying decorative knots)","(Study, Tampering with drinks)","(Study, Taking her dog for a walk)","(Study, Ripping wippets)","(Study, Observing guests from afar)"
19,"(Living Room, Bringing in the shopping)","(Bathroom, Serving drinks and chatting with guests)","(Bathroom, Raising a painting)","(Bathroom, Opening a safe)","(Living Room, Tying decorative knots)","(Study, Inspecting wine bottles)","(Living Room, Taking her dog for a walk)","(Living Room, Polishing household items)","(Dining Room, Tying decorative knots)","(Dining Room, Reorganizing books and materials)","(Study, Polishing household items)","(Living Room, Taking her dog for a walk)","(Study, Complaining about TSA going through their purse)","(Living Room, Looking in drawers)","(Bathroom, Reorganizing books and materials)","(Living Room, Returning to mingle with guests)","(Bathroom, Taking her dog for a walk)","(Living Room, Taking her dog for a walk)","(Study, Raising a painting)","(Study, Raising a painting)"
