alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
10,"(Bathroom, Returning to mingle with guests)","(Living Room, Peeling an orange)","(Bathroom, Peeling an orange)","(Living Room, Talking about skeet shooting)","(Dining Room, Returning to mingle with guests)","(Kitchen, Whittling a stick)","(Kitchen, Reading a novel quietly)","(Dining Room, Bragging about their Birkin)","(Kitchen, Whittling a stick)","(Dining Room, Looking in drawers)","(Study, Opening letters)","(Living Room, Inflating balloons)","(Study, Reading a novel quietly)","(Study, Peeling an orange)","(Study, Whittling a stick)","(Study, Opening letters)","(Study, Reading a novel quietly)","(Study, Opening letters)","(Study, Opening letters)","(Dining Room, Whittling a stick)"
11,"(Study, Reading a novel quietly)","(Living Room, Returning to mingle with guests)","(Bathroom, Opening letters)","(Bathroom, Peeling an orange)","(Bathroom, Peeling an orange)","(Bathroom, Whittling a stick)","(Living Room, Rinsing a glass carefully)","(Bathroom, Looking in drawers)","(Living Room, Whittling a stick)","(Study, Peeling an orange)","(Dining Room, Peeling an orange)","(Kitchen, Whittling a stick)","(Kitchen, Reading a novel quietly)","(Dining Room, Peeling an orange)","(Living Room, Whittling a stick)","(Bathroom, Peeling an orange)","(Bathroom, Ripping wippets)","(Living Room, Returning to mingle with guests)","(Bathroom, Returning to mingle with guests)","(Living Room, Whittling a stick)"
12,"(Bathroom, Opening letters)","(Living Room, Reading a novel quietly)","(Dining Room, Returning to mingle with guests)","(Study, Opening letters)","(Study, Washing up after handling items)","(Study, Bringing in the shopping)","(Living Room, Reading a novel quietly)","(Study, Whittling a stick)","(Study, Peeling an orange)","(Study, Reading a novel quietly)","(Study, Whittling a stick)","(Study, Opening letters)","(Study, Peeling an orange)","(Study, Peeling an orange)","(Study, Returning to mingle with guests)","(Study, Returning to mingle with guests)","(Living Room, Inflating balloons)","(Study, Opening letters)","(Living Room, Reading a novel quietly)","(Dining Room, Chatting with guests)"
13,"(Bathroom, Peeling an orange)","(Bathroom, Reorganizing books and materials)","(Living Room, Returning to mingle with guests)","(Living Room, Whittling a stick)","(Study, Whittling a stick)","(Study, Peeling an orange)","(Study, Reading a novel quietly)","(Study, Opening a safe)","(Study, Reorganizing books and materials)","(Study, Opening a safe)","(Living Room, Returning to mingle with guests)","(Dining Room, Returning to mingle with guests)","(Study, Whittling a stick)","(Study, Returning to mingle with guests)","(Study, Peeling an orange)","(Living Room, Whittling a stick)","(Bathroom, Peeling an orange)","(Bathroom, Whittling a stick)","(Bathroom, Returning to mingle with guests)","(Bathroom, Inspecting wine bottles)"
14,"(Study, Returning to mingle with guests)","(Dining Room, Whittling a stick)","(Dining Room, Opening letters)","(Living Room, Inspecting a family heirloom)","(Study, Chatting with guests)","(Dining Room, Observing guests from afar)","(Study, Whittling a stick)","(Dining Room, Returning to mingle with guests)","(Study, Opening letters)","(Study, Tying decorative knots)","(Dining Room, Opening letters)","(Dining Room, Peeling an orange)","(Dining Room, Reading a novel quietly)","(Study, Returning to mingle with guests)","(Living Room, Whittling a stick)","(Bathroom, Returning to mingle with guests)","(Living Room, Reading a novel quietly)","(Bathroom, Reading a novel quietly)","(Bathroom, Peeling an orange)","(Bathroom, Complaining about TSA going through their purse)"
15,"(Study, Whittling a stick)","(Study, Reading a novel quietly)","(Study, Inspecting wine bottles)","(Living Room, Peeling an orange)","(Study, Taking her dog for a walk)","(Living Room, Opening letters)","(Living Room, Peeling an orange)","(Study, Reading a novel quietly)","(Living Room, Peeling an orange)","(Study, Returning to mingle with guests)","(Study, Swapping drinks unnoticed)","(Living Room, Peeling an orange)","(Dining Room, Opening letters)","(Dining Room, Reading a novel quietly)","(Study, Speaking in a high-pitched voice)","(Study, Inspecting wine bottles)","(Study, Reading a novel quietly)","(Study, Opening letters)","(Study, Opening letters)","(Study, Tying decorative knots)"
16,"(Study, Opening letters)","(Dining Room, Raising a painting)","(Study, Returning to mingle with guests)","(Dining Room, Whittling a stick)","(Study, Reading a novel quietly)","(Study, Peeling an orange)","(Study, Reading a novel quietly)","(Study, Returning to mingle with guests)","(Study, Peeling an orange)","(Living Room, Opening letters)","(Study, Whittling a stick)","(Study, Reading a novel quietly)","(Study, Washing up after handling items)","(Study, Reading a novel quietly)","(Dining Room, Peeling an orange)","(Living Room, Washing up after handling items)","(Study, Retrieving items from storage)","(Dining Room, Peeling an orange)","(Study, Opening letters)","(Study, Reading a novel quietly)"
17,"(Bathroom, Whittling a stick)","(Bathroom, Whittling a stick)","(Bathroom, Retrieving items from storage)","(Living Room, Reorganizing books and materials)","(Study, Reading a novel quietly)","(Study, Reading a novel quietly)","(Study, Whittling a stick)","(Dining Room, Tampering with drinks)","(Kitchen, Reading a novel quietly)","(Dining Room, Reading a novel quietly)","(Study, Reading a novel quietly)","(Study, Reading a novel quietly)","(Study, Reading warning labels)","(Study, Opening letters)","(Study, Opening letters)","(Study, Ripping wippets)","(Study, Whittling a stick)","(Study, Opening letters)","(Study, Opening letters)","(Dining Room, Reading warning labels)"
18,"(Study, Returning to mingle with guests)","(Study, Taking her dog for a walk)","(Living Room, Returning to mingle with guests)","(Study, Peeling an orange)","(Study, Returning to mingle with guests)","(Study, Whittling a stick)","(Study, Ripping wippets)","(Study, Peeling an orange)","(Living Room, Returning to mingle with guests)","(Study, Whittling a stick)","(Study, Observing guests from afar)","(Study, Returning to mingle with guests)","(Study, Observing guests from afar)","(Study, Complaining about TSA going through their purse)","(Dining Room, Peeling an orange)","(Dining Room, Looking in drawers)","(Kitchen, Taking her dog for a walk)","(Pantry, Whittling a stick)","(Kitchen, Whittling a stick)","(Pantry, Peeling an orange)"
19,"(Study, Opening letters)","(Dining Room, Inspecting a family heirloom)","(Dining Room, Reading a novel quietly)","(Dining Room, Whittling a stick)","(Kitchen, Whittling a stick)","(Kitchen, Opening letters)","(Pantry, Returning to mingle with guests)","(Kitchen, Whittling a stick)","(Dining Room, Whittling a stick)","(Kitchen, Peeling an orange)","(Pantry, Tampering with drinks)","(Kitchen, Returning to mingle with guests)","(Pantry, Reading warning labels)","(Kitchen, Peeling an orange)","(Kitchen, Reorganizing books and materials)","(Dining Room, Opening letters)","(Living Room, Bringing in the shopping)","(Study, Reading a novel quietly)","(Study, Whittling a stick)","(Study, Inflating balloons)"
