alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
10,"(Dining Room, Observing guests from afar)","(Dining Room, Bragging about their Birkin)","(Study, Retrieving items from storage)","(Study, Bringing in the shopping)","(Living Room, Chatting with guests)","(Study, Retrieving items from storage)","(Dining Room, Serving drinks and chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Opening a safe)","(Pantry, Rinsing a glass carefully)","(Kitchen, Polishing household items)","(Dining Room, Retrieving items from storage)","(Dining Room, Bringing in the shopping)","(Dining Room, Bringing in the shopping)","(Kitchen, Inflating balloons)","(Dining Room, Chatting with guests)","(Kitchen, Polishing household items)","(Kitchen, Chatting with guests)"
11,"(Kitchen, Bringing in the shopping)","(Kitchen, Retrieving items from storage)","(Dining Room, Complaining about TSA going through their purse)","(Living Room, Retrieving items from storage)","(Living Room, Complaining about TSA going through their purse)","(Study, Complaining about TSA going through their purse)","(Dining Room, Tying decorative knots)","(Kitchen, Inspecting a family heirloom)","(Pantry, Peeling an orange)","(Kitchen, Retrieving items from storage)","(Dining Room, Peeling an orange)","(Study, Bringing in the shopping)","(Living Room, Bragging about their Birkin)","(Dining Room, Complaining about TSA going through their purse)","(Living Room, Retrieving items from storage)","(Dining Room, Retrieving items from storage)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Bringing in the shopping)","(Dining Room, Retrieving items from storage)","(Study, Retrieving items from storage)"
12,"(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Bringing in the shopping)","(Dining Room, Bringing in the shopping)","(Kitchen, Raising a painting)","(Dining Room, Bringing in the shopping)","(Dining Room, Bringing in the shopping)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Reading warning labels)","(Pantry, Chatting with guests)","(Kitchen, Bringing in the shopping)","(Pantry, Chatting with guests)","(Kitchen, Retrieving items from storage)","(Dining Room, Raising a painting)","(Kitchen, Bringing in the shopping)","(Dining Room, Bragging about their Birkin)","(Dining Room, Washing up after handling items)","(Study, Bragging about their Birkin)","(Study, Retrieving items from storage)","(Living Room, Chatting with guests)","(Living Room, Bringing in the shopping)"
13,"(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Kitchen, Chatting with guests)","(Kitchen, Bragging about their Birkin)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Opening a safe)","(Dining Room, Rinsing a glass carefully)","(Living Room, Complaining about TSA going through their purse)","(Study, Opening letters)","(Dining Room, Inspecting wine bottles)","(Kitchen, Bragging about their Birkin)","(Pantry, Complaining about TSA going through their purse)","(Kitchen, Bringing in the shopping)","(Dining Room, Bringing in the shopping)","(Kitchen, Retrieving items from storage)","(Dining Room, Inspecting a family heirloom)","(Living Room, Bringing in the shopping)","(Dining Room, Bringing in the shopping)","(Dining Room, Bragging about their Birkin)","(Study, Complaining about TSA going through their purse)"
14,"(Dining Room, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Raising a painting)","(Pantry, Opening a safe)","(Kitchen, Bringing in the shopping)","(Pantry, Opening a safe)","(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Living Room, Chatting with guests)","(Study, Polishing household items)","(Dining Room, Retrieving items from storage)","(Study, Retrieving items from storage)","(Dining Room, Bragging about their Birkin)","(Kitchen, Retrieving items from storage)","(Kitchen, Bringing in the shopping)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Retrieving items from storage)","(Dining Room, Taking her dog for a walk)","(Kitchen, Retrieving items from storage)","(Dining Room, Retrieving items from storage)"
15,"(Kitchen, Chatting with guests)","(Kitchen, Bringing in the shopping)","(Kitchen, Retrieving items from storage)","(Pantry, Retrieving items from storage)","(Pantry, Bringing in the shopping)","(Kitchen, Taking her dog for a walk)","(Dining Room, Bringing in the shopping)","(Living Room, Bragging about their Birkin)","(Bathroom, Retrieving items from storage)","(Bathroom, Chatting with guests)","(Living Room, Inspecting wine bottles)","(Dining Room, Retrieving items from storage)","(Study, Complaining about TSA going through their purse)","(Study, Complaining about TSA going through their purse)","(Study, Chatting with guests)","(Dining Room, Chatting with guests)","(Living Room, Retrieving items from storage)","(Bathroom, Chatting with guests)","(Living Room, Retrieving items from storage)","(Dining Room, Complaining about TSA going through their purse)"
16,"(Dining Room, Chatting with guests)","(Dining Room, Complaining about TSA going through their purse)","(Study, Complaining about TSA going through their purse)","(Study, Talking about skeet shooting)","(Study, Bringing in the shopping)","(Dining Room, Bragging about their Birkin)","(Kitchen, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Study, Bragging about their Birkin)","(Living Room, Ripping wippets)","(Study, Chatting with guests)","(Study, Bragging about their Birkin)","(Dining Room, Bringing in the shopping)","(Dining Room, Complaining about TSA going through their purse)","(Living Room, Complaining about TSA going through their purse)","(Dining Room, Bringing in the shopping)","(Kitchen, Inspecting wine bottles)","(Dining Room, Whittling a stick)","(Living Room, Retrieving items from storage)","(Bathroom, Retrieving items from storage)"
17,"(Kitchen, Inspecting a family heirloom)","(Kitchen, Bringing in the shopping)","(Dining Room, Reorganizing books and materials)","(Living Room, Retrieving items from storage)","(Bathroom, Bringing in the shopping)","(Living Room, Raising a painting)","(Dining Room, Retrieving items from storage)","(Kitchen, Retrieving items from storage)","(Kitchen, Complaining about TSA going through their purse)","(Dining Room, Bringing in the shopping)","(Living Room, Bragging about their Birkin)","(Dining Room, Retrieving items from storage)","(Kitchen, Raising a painting)","(Pantry, Washing up after handling items)","(Kitchen, Bragging about their Birkin)","(Dining Room, Chatting with guests)","(Dining Room, Talking about skeet shooting)","(Kitchen, Reading a novel quietly)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Reorganizing books and materials)"
18,"(Kitchen, Complaining about TSA going through their purse)","(Pantry, Complaining about TSA going through their purse)","(Kitchen, Bringing in the shopping)","(Kitchen, Chatting with guests)","(Dining Room, Bringing in the shopping)","(Kitchen, Swapping drinks unnoticed)","(Kitchen, Retrieving items from storage)","(Dining Room, Retrieving items from storage)","(Living Room, Complaining about TSA going through their purse)","(Bathroom, Retrieving items from storage)","(Living Room, Bragging about their Birkin)","(Dining Room, Complaining about TSA going through their purse)","(Study, Bringing in the shopping)","(Dining Room, Complaining about TSA going through their purse)","(Kitchen, Bringing in the shopping)","(Pantry, Complaining about TSA going through their purse)","(Kitchen, Bringing in the shopping)","(Pantry, Chatting with guests)","(Kitchen, Bragging about their Birkin)","(Pantry, Bringing in the shopping)"
19,"(Kitchen, Bragging about their Birkin)","(Pantry, Retrieving items from storage)","(Kitchen, Taking her dog for a walk)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Washing up after handling items)","(Living Room, Bringing in the shopping)","(Study, Bringing in the shopping)","(Study, Bringing in the shopping)","(Dining Room, Chatting with guests)","(Study, Chatting with guests)","(Dining Room, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Dining Room, Bragging about their Birkin)","(Study, Complaining about TSA going through their purse)","(Living Room, Complaining about TSA going through their purse)","(Study, Chatting with guests)","(Dining Room, Retrieving items from storage)","(Study, Reading a novel quietly)","(Dining Room, Complaining about TSA going through their purse)"
