alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
10,"(Kitchen, Talking about skeet shooting)","(Kitchen, Talking about skeet shooting)","(Kitchen, Opening a safe)","(Dining Room, Inspecting a family heirloom)","(Living Room, Washing up after handling items)","(Study, Talking about skeet shooting)","(Living Room, Polishing household items)","(Study, Complaining about TSA going through their purse)","(Living Room, Opening a safe)","(Study, Opening a safe)","(Study, Inspecting a family heirloom)","(Living Room, Washing up after handling items)","(Study, Polishing household items)","(Dining Room, Washing up after handling items)","(Study, Opening a safe)","(Dining Room, Washing up after handling items)","(Kitchen, Talking about skeet shooting)","(Pantry, Inflating balloons)","(Kitchen, Washing up after handling items)","(Kitchen, Polishing household items)"
11,"(Living Room, Polishing household items)","(Living Room, Reading a novel quietly)","(Study, Swapping drinks unnoticed)","(Living Room, Talking about skeet shooting)","(Study, Ripping wippets)","(Dining Room, Opening a safe)","(Living Room, Talking about skeet shooting)","(Bathroom, Talking about skeet shooting)","(Living Room, Retrieving items from storage)","(Bathroom, Reading a novel quietly)","(Bathroom, Talking about skeet shooting)","(Living Room, Opening a safe)","(Living Room, Opening a safe)","(Study, Talking about skeet shooting)","(Living Room, Inspecting wine bottles)","(Study, Polishing household items)","(Living Room, Opening a safe)","(Living Room, Polishing household items)","(Living Room, Washing up after handling items)","(Dining Room, Rinsing a glass carefully)"
12,"(Living Room, Washing up after handling items)","(Living Room, Talking about skeet shooting)","(Bathroom, Opening a safe)","(Living Room, Opening a safe)","(Bathroom, Opening a safe)","(Bathroom, Opening a safe)","(Living Room, Talking about skeet shooting)","(Living Room, Polishing household items)","(Dining Room, Inspecting a family heirloom)","(Kitchen, Returning to mingle with guests)","(Kitchen, Opening a safe)","(Dining Room, Talking about skeet shooting)","(Kitchen, Talking about skeet shooting)","(Kitchen, Talking about skeet shooting)","(Pantry, Washing up after handling items)","(Kitchen, Inspecting a family heirloom)","(Pantry, Taking her dog for a walk)","(Kitchen, Bringing in the shopping)","(Dining Room, Observing guests from afar)","(Study, Talking about skeet shooting)"
13,"(Living Room, Polishing household items)","(Dining Room, Washing up after handling items)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Opening a safe)","(Living Room, Opening a safe)","(Bathroom, Rinsing a glass carefully)","(Living Room, Opening a safe)","(Study, Talking about skeet shooting)","(Dining Room, Opening a safe)","(Kitchen, Speaking in a high-pitched voice)","(Kitchen, Rinsing a glass carefully)","(Dining Room, Raising a painting)","(Living Room, Talking about skeet shooting)","(Living Room, Washing up after handling items)","(Dining Room, Opening a safe)","(Kitchen, Washing up after handling items)","(Pantry, Talking about skeet shooting)","(Kitchen, Washing up after handling items)","(Dining Room, Reorganizing books and materials)"
14,"(Kitchen, Opening letters)","(Kitchen, Taking her dog for a walk)","(Kitchen, Peeling an orange)","(Kitchen, Washing up after handling items)","(Kitchen, Complaining about TSA going through their purse)","(Pantry, Polishing household items)","(Kitchen, Polishing household items)","(Dining Room, Washing up after handling items)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Washing up after handling items)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Opening a safe)","(Kitchen, Opening a safe)","(Dining Room, Talking about skeet shooting)","(Living Room, Polishing household items)","(Dining Room, Talking about skeet shooting)","(Kitchen, Whittling a stick)","(Kitchen, Opening a safe)","(Pantry, Opening a safe)","(Kitchen, Polishing household items)"
15,"(Kitchen, Polishing household items)","(Pantry, Bringing in the shopping)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Inspecting a family heirloom)","(Dining Room, Observing guests from afar)","(Kitchen, Inspecting a family heirloom)","(Kitchen, Polishing household items)","(Pantry, Talking about skeet shooting)","(Kitchen, Inspecting a family heirloom)","(Pantry, Washing up after handling items)","(Kitchen, Opening a safe)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Talking about skeet shooting)","(Dining Room, Observing guests from afar)","(Kitchen, Talking about skeet shooting)","(Dining Room, Talking about skeet shooting)","(Kitchen, Opening a safe)","(Pantry, Inspecting a family heirloom)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Opening a safe)"
16,"(Living Room, Opening a safe)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Washing up after handling items)","(Dining Room, Opening a safe)","(Kitchen, Polishing household items)","(Kitchen, Talking about skeet shooting)","(Pantry, Talking about skeet shooting)","(Kitchen, Polishing household items)","(Kitchen, Opening a safe)","(Pantry, Opening a safe)","(Pantry, Washing up after handling items)","(Kitchen, Taking her dog for a walk)","(Kitchen, Swapping drinks unnoticed)","(Pantry, Talking about skeet shooting)","(Pantry, Inspecting a family heirloom)","(Kitchen, Rinsing a glass carefully)","(Dining Room, Opening a safe)","(Kitchen, Retrieving items from storage)","(Kitchen, Washing up after handling items)","(Dining Room, Serving drinks and chatting with guests)"
17,"(Living Room, Reorganizing books and materials)","(Bathroom, Polishing household items)","(Living Room, Opening a safe)","(Bathroom, Washing up after handling items)","(Living Room, Talking about skeet shooting)","(Living Room, Looking in drawers)","(Living Room, Reorganizing books and materials)","(Study, Opening a safe)","(Study, Inspecting a family heirloom)","(Study, Washing up after handling items)","(Study, Whittling a stick)","(Living Room, Talking about skeet shooting)","(Bathroom, Washing up after handling items)","(Living Room, Looking in drawers)","(Dining Room, Opening a safe)","(Kitchen, Rinsing a glass carefully)","(Dining Room, Washing up after handling items)","(Study, Washing up after handling items)","(Dining Room, Polishing household items)","(Living Room, Reading warning labels)"
18,"(Kitchen, Opening a safe)","(Pantry, Inspecting a family heirloom)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Opening a safe)","(Kitchen, Looking in drawers)","(Kitchen, Talking about skeet shooting)","(Kitchen, Polishing household items)","(Kitchen, Polishing household items)","(Pantry, Inspecting a family heirloom)","(Kitchen, Talking about skeet shooting)","(Pantry, Opening a safe)","(Kitchen, Swapping drinks unnoticed)","(Pantry, Talking about skeet shooting)","(Kitchen, Inspecting a family heirloom)","(Kitchen, Polishing household items)","(Dining Room, Opening a safe)","(Kitchen, Polishing household items)","(Kitchen, Observing guests from afar)","(Pantry, Tying decorative knots)","(Kitchen, Tampering with drinks)"
19,"(Kitchen, Talking about skeet shooting)","(Pantry, Talking about skeet shooting)","(Kitchen, Chatting with guests)","(Kitchen, Inspecting a family heirloom)","(Kitchen, Polishing household items)","(Pantry, Tying decorative knots)","(Kitchen, Opening a safe)","(Pantry, Polishing household items)","(Kitchen, Inspecting a family heirloom)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Washing up after handling items)","(Kitchen, Washing up after handling items)","(Kitchen, Opening a safe)","(Dining Room, Washing up after handling items)","(Living Room, Tying decorative knots)","(Bathroom, Washing up after handling items)","(Living Room, Talking about skeet shooting)","(Bathroom, Reading warning labels)","(Living Room, Talking about skeet shooting)","(Living Room, Opening a safe)"
