alias_sample_id,19:00 PM,19:10 PM,19:20 PM,19:30 PM,19:40 PM,19:50 PM,20:00 PM,20:10 PM,20:20 PM,20:30 PM,20:40 PM,20:50 PM,21:00 PM,21:10 PM,21:20 PM,21:30 PM,21:40 PM,21:50 PM,22:00 PM,22:10 PM
10,"(Living Room, Swapping drinks unnoticed)","(Bathroom, Swapping drinks unnoticed)","(Bathroom, Peeling an orange)","(Living Room, Rinsing a glass carefully)","(Living Room, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Study, Reorganizing books and materials)","(Dining Room, Tampering with drinks)","(Living Room, Rinsing a glass carefully)","(Dining Room, Inspecting wine bottles)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Inspecting wine bottles)","(Dining Room, Inspecting wine bottles)","(Dining Room, Opening a safe)","(Living Room, Inspecting wine bottles)","(Living Room, Inspecting wine bottles)","(Bathroom, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)"
11,"(Dining Room, Inspecting wine bottles)","(Living Room, Reading a novel quietly)","(Study, Rinsing a glass carefully)","(Living Room, Rinsing a glass carefully)","(Living Room, Swapping drinks unnoticed)","(Living Room, Chatting with guests)","(Bathroom, Serving drinks and chatting with guests)","(Living Room, Complaining about TSA going through their purse)","(Living Room, Reorganizing books and materials)","(Living Room, Swapping drinks unnoticed)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Returning to mingle with guests)","(Study, Swapping drinks unnoticed)","(Living Room, Rinsing a glass carefully)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Tampering with drinks)","(Living Room, Speaking in a high-pitched voice)","(Bathroom, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Opening letters)"
12,"(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Kitchen, Tampering with drinks)","(Kitchen, Serving drinks and chatting with guests)","(Dining Room, Rinsing a glass carefully)","(Study, Speaking in a high-pitched voice)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Kitchen, Inspecting wine bottles)","(Dining Room, Serving drinks and chatting with guests)","(Study, Serving drinks and chatting with guests)","(Dining Room, Rinsing a glass carefully)","(Study, Inspecting wine bottles)","(Living Room, Rinsing a glass carefully)","(Dining Room, Serving drinks and chatting with guests)","(Kitchen, Rinsing a glass carefully)","(Pantry, Serving drinks and chatting with guests)","(Kitchen, Observing guests from afar)","(Dining Room, Tying decorative knots)"
13,"(Living Room, Tying decorative knots)","(Dining Room, Tying decorative knots)","(Kitchen, Talking about skeet shooting)","(Dining Room, Serving drinks and chatting with guests)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Tampering with drinks)","(Dining Room, Rinsing a glass carefully)","(Living Room, Rinsing a glass carefully)","(Dining Room, Inspecting wine bottles)","(Living Room, Inspecting wine bottles)","(Living Room, Observing guests from afar)","(Dining Room, Returning to mingle with guests)","(Study, Swapping drinks unnoticed)","(Living Room, Tampering with drinks)","(Dining Room, Chatting with guests)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Tampering with drinks)","(Living Room, Opening letters)","(Study, Tampering with drinks)","(Dining Room, Tampering with drinks)"
14,"(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Kitchen, Swapping drinks unnoticed)","(Pantry, Tampering with drinks)","(Kitchen, Rinsing a glass carefully)","(Pantry, Serving drinks and chatting with guests)","(Kitchen, Opening a safe)","(Dining Room, Tampering with drinks)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Bathroom, Peeling an orange)","(Living Room, Inspecting wine bottles)","(Bathroom, Swapping drinks unnoticed)","(Living Room, Retrieving items from storage)","(Dining Room, Bringing in the shopping)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Tampering with drinks)","(Living Room, Inspecting wine bottles)","(Living Room, Tampering with drinks)","(Dining Room, Returning to mingle with guests)"
15,"(Living Room, Inspecting wine bottles)","(Living Room, Inspecting wine bottles)","(Living Room, Inspecting wine bottles)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Tampering with drinks)","(Kitchen, Swapping drinks unnoticed)","(Dining Room, Looking in drawers)","(Dining Room, Swapping drinks unnoticed)","(Dining Room, Tampering with drinks)","(Living Room, Inspecting wine bottles)","(Living Room, Rinsing a glass carefully)","(Living Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Rinsing a glass carefully)","(Dining Room, Washing up after handling items)","(Study, Inspecting wine bottles)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Chatting with guests)","(Living Room, Tampering with drinks)"
16,"(Dining Room, Rinsing a glass carefully)","(Kitchen, Raising a painting)","(Dining Room, Inspecting wine bottles)","(Study, Rinsing a glass carefully)","(Living Room, Ripping wippets)","(Living Room, Speaking in a high-pitched voice)","(Study, Tampering with drinks)","(Living Room, Inspecting wine bottles)","(Dining Room, Bragging about their Birkin)","(Study, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Rinsing a glass carefully)","(Study, Washing up after handling items)","(Living Room, Whittling a stick)","(Dining Room, Tampering with drinks)","(Study, Reorganizing books and materials)","(Dining Room, Opening a safe)","(Living Room, Inspecting wine bottles)","(Dining Room, Tampering with drinks)","(Dining Room, Returning to mingle with guests)"
17,"(Dining Room, Rinsing a glass carefully)","(Study, Serving drinks and chatting with guests)","(Living Room, Inspecting wine bottles)","(Bathroom, Rinsing a glass carefully)","(Living Room, Retrieving items from storage)","(Bathroom, Swapping drinks unnoticed)","(Bathroom, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)","(Dining Room, Tampering with drinks)","(Dining Room, Inspecting wine bottles)","(Dining Room, Raising a painting)","(Kitchen, Serving drinks and chatting with guests)","(Pantry, Washing up after handling items)","(Kitchen, Serving drinks and chatting with guests)","(Dining Room, Inspecting wine bottles)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Inspecting wine bottles)","(Living Room, Rinsing a glass carefully)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Observing guests from afar)"
18,"(Living Room, Rinsing a glass carefully)","(Dining Room, Complaining about TSA going through their purse)","(Dining Room, Tampering with drinks)","(Dining Room, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Complaining about TSA going through their purse)","(Dining Room, Tampering with drinks)","(Living Room, Inspecting wine bottles)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Serving drinks and chatting with guests)","(Dining Room, Rinsing a glass carefully)","(Dining Room, Tampering with drinks)","(Living Room, Tampering with drinks)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Serving drinks and chatting with guests)","(Living Room, Swapping drinks unnoticed)","(Living Room, Rinsing a glass carefully)","(Study, Inspecting wine bottles)","(Dining Room, Inspecting wine bottles)","(Living Room, Swapping drinks unnoticed)"
19,"(Living Room, Swapping drinks unnoticed)","(Study, Serving drinks and chatting with guests)","(Dining Room, Serving drinks and chatting with guests)","(Living Room, Rinsing a glass carefully)","(Bathroom, Bringing in the shopping)","(Bathroom, Swapping drinks unnoticed)","(Living Room, Reading warning labels)","(Living Room, Tying decorative knots)","(Living Room, Serving drinks and chatting with guests)","(Study, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Tampering with drinks)","(Study, Inspecting a family heirloom)","(Dining Room, Swapping drinks unnoticed)","(Kitchen, Tampering with drinks)","(Dining Room, Swapping drinks unnoticed)","(Living Room, Opening a safe)","(Dining Room, Inflating balloons)","(Living Room, Tampering with drinks)","(Bathroom, Rinsing a glass carefully)"
